# Neutral stability data
# Columns: heat release, activation energy, frequency
1.498733333333333384e+01 2.500976562500000222e-01 1.683990201310735957e+00
1.504690196078431441e+01 2.490722656250000111e-01 1.687315522301073845e+00
1.510647058823529498e+01 2.480468750000000000e-01 1.690629765111636207e+00
1.516603921568627555e+01 2.470947265625000333e-01 1.693971331425290439e+00
1.522560784313725435e+01 2.461425781250000111e-01 1.697302453431713820e+00
1.528517647058823492e+01 2.451171875000000000e-01 1.700584438198996740e+00
1.534474509803921549e+01 2.442382812500000222e-01 1.703933601033488454e+00
1.540431372549019606e+01 2.432861328125000000e-01 1.707233680173051216e+00
1.546388235294117663e+01 2.423339843750000056e-01 1.710523421592820226e+00
1.552345098039215721e+01 2.414550781250000000e-01 1.713842125912496961e+00
1.558301960784313778e+01 2.404296875000000167e-01 1.717071708292959631e+00
1.564258823529411835e+01 2.395507812500000111e-01 1.720370684689471075e+00
1.570215686274509892e+01 2.386718750000000333e-01 1.723659638636431790e+00
1.576172549019607949e+01 2.377929687500000000e-01 1.726938683562212029e+00
1.582129411764705829e+01 2.369140625000000222e-01 1.730207911017184186e+00
1.588086274509803886e+01 2.359619140625000000e-01 1.733426853271267554e+00
1.594043137254901943e+01 2.350830078125000222e-01 1.736676441812774696e+00
1.600000000000000000e+01 2.342041015625000444e-01 1.739916269980994912e+00
